Date,Price,Open,High,Low,Vol.,Change %
02/28/1996,855.21,859.74,864.86,855.11,19.51M,-0.54%
02/27/1996,859.87,858.73,862.98,852.24,20.52M,0.10%
02/26/1996,859.05,869.11,885.81,859.05,26.58M,-1.10%
02/24/1996,868.61,878.17,878.17,868.2,14.04M,-0.91%
02/23/1996,876.55,881.77,883.06,876.39,22.56M,-0.57%
02/22/1996,881.6,882.76,883.3,877.58,22.92M,-0.18%
02/21/1996,883.23,889.27,891.65,883.23,23.48M,-0.69%
02/17/1996,889.34,878.37,889.46,878.37,19.09M,1.29%
02/16/1996,878.03,869.04,879.98,869.04,32.74M,1.00%
02/15/1996,869.35,869.98,874.47,868.91,30.68M,-0.07%
02/14/1996,869.98,858.49,870.01,856.73,23.17M,1.38%
02/13/1996,858.18,864.18,864.18,853.03,21.11M,-0.80%
02/12/1996,865.12,874.83,877,865.1,21.51M,-1.15%
02/10/1996,875.21,879.81,880.12,875.16,15.80M,-0.76%
02/09/1996,881.88,889.1,892.51,881.84,28.06M,-0.80%
02/08/1996,889.01,883.2,890.89,883.2,31.67M,0.59%
02/07/1996,883.77,881.19,885.06,878.65,24.13M,0.29%
02/06/1996,881.21,890.74,894.62,879.91,30.19M,-1.06%
02/05/1996,890.68,884.77,893.01,884.63,27.58M,0.68%
02/03/1996,884.63,881.46,887.62,881.46,18.02M,0.36%
02/02/1996,881.48,885.14,888,879.59,33.76M,-0.41%
02/01/1996,885.13,879.19,890.41,879.19,40.11M,0.72%
01/31/1996,878.82,875.37,878.82,875.22,28.36M,0.38%
01/30/1996,875.45,873.03,881.6,873.03,29.87M,0.26%
01/29/1996,873.15,864.7,878.39,864.7,32.07M,0.97%
01/27/1996,864.77,867.29,868.58,863.42,15.43M,-0.30%
01/26/1996,867.38,868.59,872.84,866.34,28.87M,-0.09%
01/25/1996,868.17,865.64,869.42,862.55,25.95M,0.30%
01/24/1996,865.55,850.96,865.56,850.96,23.41M,1.73%
01/23/1996,850.83,842.67,853.88,842.66,22.32M,0.95%
01/22/1996,842.8,842.64,849.16,839.52,18.61M,0.01%
01/20/1996,842.72,848.02,848.19,837.01,12.46M,-0.63%
01/19/1996,848.07,846.83,853.25,841.89,19.97M,-0.13%
01/18/1996,849.14,856.5,856.5,845.07,18.08M,-0.92%
01/17/1996,857.06,866.64,870.4,856.57,19.45M,-1.29%
01/16/1996,868.27,864.84,875.23,859.74,20.25M,0.32%
01/15/1996,865.46,873.92,878.59,865.3,20.40M,-1.03%
01/13/1996,874.46,878.02,880.53,873.6,15.34M,-0.48%
01/12/1996,878.64,883.57,886.07,878.55,23.19M,-0.60%
01/11/1996,883.96,885.51,894.49,883.43,28.63M,-0.20%
01/10/1996,885.77,882.09,885.77,872.04,24.67M,0.43%
01/09/1996,881.99,867.45,882.79,867.45,23.11M,1.75%
01/08/1996,866.81,857.49,876.1,850.67,22.04M,0.98%
01/06/1996,858.36,856.49,862.64,856.49,12.74M,0.20%
01/05/1996,856.62,858.84,858.84,844.04,18.78M,-0.39%
01/04/1996,859.97,888.6,890.87,859.97,18.28M,-3.25%
01/03/1996,888.85,882.29,889.59,880.45,9.49M,0.67%
12/27/1995,882.94,876.05,882.94,872.6,25.15M,0.75%
12/26/1995,876.37,892.95,894.76,876.37,23.07M,-1.87%
12/23/1995,893.11,894.72,899.17,893.06,12.88M,-0.17%
12/22/1995,894.67,899.95,902.9,891.55,20.73M,-0.58%
12/21/1995,899.86,891.25,899.84,889.42,23.43M,0.88%
12/20/1995,892.04,890.76,899.72,887.22,20.98M,0.14%
12/19/1995,890.79,867.21,892.57,864.59,20.87M,2.72%
12/18/1995,867.18,883.47,887.92,867.18,17.42M,-1.95%
12/16/1995,884.39,899.02,899.02,884.39,13.30M,-1.69%
12/15/1995,899.55,908.3,909.44,897.01,16.92M,-1.00%
12/14/1995,908.67,929.23,929.23,908.67,17.56M,-2.24%
12/13/1995,929.46,943.14,951.13,929.46,18.74M,-1.46%
12/12/1995,943.22,947.83,949.33,939.39,15.37M,-0.48%
12/11/1995,947.75,962.55,963.78,947.72,19.76M,-1.57%
